PA,BC,DE,FG,HI,JK,LM,NO,person_id
4.935694935040489,5.338931816504657,5.456481422572841,5.219484777821754,4.766771306950059,4.3635344299127885,4.245984834924575,4.482981470271017,1
3.7521348459424217,3.001498214237969,2.6366534655723988,2.871321702925713,3.5680374665337315,4.318674103056299,4.683518847477089,4.448850600321303,2
5.26327522367614,4.5434517722905445,3.6854410943255362,3.1918542772656155,3.3518277512383485,4.071651222283725,4.929661869322202,5.423248695454994,3
3.3698807630799523,3.8751200237888446,4.817897345153659,5.645946561527028,5.874207662573012,5.368968410683066,4.426191094988495,3.5981418847688023,4
8.04748150946851,8.057783296225068,7.887013101612573,7.6352058456574605,7.449866759148187,7.43956498656213,7.610335164298684,7.862142428792899,5
5.079183545146113,5.242567518612622,5.364302383433514,5.373077527277694,5.263752569635319,5.10036859430803,4.978633725165847,4.9698585880857005,6
7.004653070030753,7.642398292676513,7.994764352853941,7.855340039491903,7.305798200314694,6.668052997786506,6.3156869161568725,6.455111243457148,7
6.137372062683872,6.465903068802683,6.703251723348369,6.710382401343096,6.4831180501656975,6.154587051248022,5.917238394276248,5.9101077138459095,8
5.899258479935766,5.573476288551361,5.536059498590507,5.808926339502838,6.232235132590704,6.558017323758203,6.595434121852335,6.322567272741269,9
6.856264334875776,5.728062423548955,4.653611302508044,4.262309862977567,4.783377176784835,5.911579077119887,6.986030202762148,7.377331640913608,10
3.749291441711405,4.176460486333508,4.441411941411275,4.388940840901331,4.049784057609269,3.6226150073924375,3.357663544005688,3.4101346464992153,11
5.86841558086935,6.109961898780681,6.665773247399895,7.21026284727442,7.424476107763052,7.182929779840308,6.6271184495185915,6.082628834581714,12
3.9539890873452963,4.045591176488484,4.332957937909769,4.6477538714428945,4.8055757362777625,4.713973648592743,4.426606873930282,4.111810967129152,13
4.019152558131256,4.405681867380084,4.456706631542805,4.142337245477855,3.6467270035596484,3.2601976999160334,3.209172933066883,3.5235423360929783,14
5.429126193406291,4.5176298636278105,3.580989230266108,3.1678757208613133,3.520285595478656,4.431781938802158,5.3684225621694335,5.781536081136547,15
4.789710383713202,5.0003106429349256,5.327831503360594,5.580415683414989,5.610102786514002,5.399502521266327,5.071981663938599,4.819397493206009,16
4.302116708866741,4.242151303830935,4.093583960034322,3.9434434500219107,3.8796800277732437,3.9396454408232353,4.0882127711698,4.238353283071452,17
2.7999051573413447,2.6530782463219102,3.2574882148291615,4.259079930318199,5.071134537025426,5.217961452000151,4.613551481994618,3.61195978660499,18
2.105904557603856,2.341929634644427,2.9804617201881483,3.6474574174015153,3.9521996785913363,3.7161746045591175,3.0776424987312256,2.4106468015524776,19
7.117928469379341,6.847827805861304,6.269270504328186,5.721167565996525,5.524590286254002,5.794690948016548,6.3732482508717565,6.921351193254974,20
4.750751558866364,4.907621428599076,4.89834222717007,4.7283496245365235,4.497222955413235,4.340353087740919,4.349632270059374,4.519624881242119,21
6.204249392364265,6.259421177454961,6.179380236552211,6.011013394708117,5.852947705134188,5.797775891397339,5.87781686618444,6.046183682321886,22
5.8119942847706465,5.992838389565138,6.37083673015217,6.724563045041186,6.8468092346683,6.665965137039276,6.287966790117404,5.934240500273389,23
4.92318765809867,4.54710569314023,3.980854163339743,3.5561355222551585,3.5217441995834196,3.8978261695287078,4.464077702341995,4.888796346465167,24
7.230171767448535,7.415292788197336,7.2688662469662795,6.876666850017935,6.468439648954933,6.2833186338841704,6.42974516929266,6.821944600508172,25
7.154058708268497,6.488800309611258,6.085789536460663,6.181104650471297,6.718911343086915,7.384169748827635,7.787180499165879,7.69186538884678,26
3.214097127620427,3.415564407454796,3.6859695299239386,3.8669128262051924,3.8524001845940536,3.650932903533464,3.3805277745317577,3.199584468091449,27
5.37211596393567,5.268232106383178,5.347581385312403,5.563682080032637,5.789945306858856,5.893829152243345,5.814479858074564,5.598379180907529,28
4.601220826088722,5.037731511821121,5.546912811892728,5.830493210647452,5.722355160823341,5.285844472839988,4.7766631828717045,4.493082773915181,29
4.169649471283597,4.306664375406759,4.327333082986798,4.2195482063051895,4.046448640602512,3.909433759632124,3.888765027236035,3.9965499187557736,30
5.943743153523221,5.748166471937738,5.233854099749237,4.702083216770419,4.464358023520926,4.659934712651797,5.174247100798471,5.706017973015462,31
5.732512072655591,5.922464340165102,5.898445596959126,5.6745256796242165,5.381873831683883,5.191921560055443,5.215940321198559,5.439860238366612,32
5.640041082015992,5.516751608900789,5.308518179312857,5.137321151613186,5.103445388410545,5.22673487104475,5.434968285687991,5.606165331742774,33
6.400447510100142,5.923518201064078,5.540298470512203,5.475273235700879,5.766533389776084,6.243462710102805,6.626682450473093,6.691707680214299,34
6.21160621268454,6.487749564869382,6.9804293895050655,7.401040484683481,7.503194601636012,7.227051244403306,6.734371440437459,6.313760327496361,35
5.5934075810756605,5.017136636238019,4.268736428797923,3.7866096389305763,3.853179598909261,4.429450539956792,5.1778507455861895,5.659977531784048,36
5.3101496165156945,4.735450596116002,4.182246146586362,3.9745959288334527,4.234138622095853,4.808837628569758,5.362042091791045,5.569692310714768,37
4.09266911761582,3.958636646248554,4.038768343025072,4.2861241640987755,4.555806406909822,4.689838888433062,4.609707182378272,4.362351370309431,38
5.419469215998495,5.034228926205891,4.563418244897508,4.2828317021720865,4.356833089336915,4.742073373204978,5.212884032255661,5.493470587744025,39
6.387400103757744,6.541460904536345,6.728477536436862,6.838898146791467,6.808039872354086,6.653979074651826,6.466962459112923,6.356541827112181,40
6.298336136935584,5.890080784697547,5.41683296730552,5.155814876041157,5.259927316504024,5.668182669160259,6.141430478063892,6.402448596127893,41
